Ссылка,Бренд,Название продукта,Цена,Рейтинг,Описание,Инструкция,Страна-производитель
https://goldapple.ru/19000262201-the-one-gold-intense,Dolce & Gabbana,The One Gold Intense,12540,Рейтинг отсутствует,"Знаешь это ощущение, когда солнечный свет касается металла — тёплый, сильный, почти золотой на коже? Аромат именно такой. Он только твой, как внутренняя уверенность, которая не нуждается в громких словах. The One Gold Intense — не о том, чтобы быть замеченным. Он — о том, чтобы быть прочувствованным. В его глубине — сила и спокойствие, как присутствие, которое остаётся, даже когда ты уходишь.На коже он начинается с яркой искры итальянского бергамота и пряного красного имбиря. Затем раскрывается смолистой теплотой мускатного шалфея и кардамона — насыщенно, но сдержанно. И наконец, в шлейфе — амбровое дерево, ветивер с Гаити и пачули, создающие утончённое, уверенное основание. Лучше всего звучит в прохладные вечера и тихие встречи, когда воздух становится плотнее, а время — медленнее.","Наносите на шею, за уши, на запястья и другие пульсовые точки.",страна происхождения Италия
https://goldapple.ru/99000009843-white-widow,SYNONYME,WHITE WIDOW,5980,4.8,"Синоним праздниĸа жизни.Взрыв дофамина в опьяняющем ĸоĸтейле изысĸанной гурманиĸи. Возбуждает аппетит ĸ ярĸой жизни, наполненной росĸошью, соблазнами и на время снятыми запретами.","Аромат можно наносить на волосы, кожу, одежду.","страна происхождения Россия Продавец ИП Визер Мария Владимировна ОГРН / ОГРНИП 320774600441471 Юридический адрес Москва, , ул. Пырьева, д. 24, кв./офис 41"
https://goldapple.ru/19000257717-mesmerize-me,FOR ME by gold apple,Mesmerize me,7900,4.2,"Мы давно мечтали создать продукт, который бы передавал твое настроение без слов. Парфюмерная коллекция FOR ME — это ароматы, с которыми ты можешь подчеркнуть то, что хочешь прямо сейчас. Парфюмерные композиции были произведены во Франции.MESMERIZE ME — это звенящий, как зимний день, аромат, построенный на контрастах: энергия и смелость сплетаются с мягкостью в гармоничное звучание. Дерзкий аккорд холодного черного перца задает яркое начало: за ним раскрывается теплота амбры, которую окружают густой ладан и бархатистая замша. Древесные ноты акигалавуда в базе оттеняют чистоту амброксана и напоминают, что истинная сила — в балансе противоположностей.Стильный флакон объемом 100 мл украсит твою коллекцию парфюмов и станет главным акцентом на полке.","Распылите на кожу с расстояния 20–30 см.Не подвергать воздействию прямых солнечных лучей.Беречь от источников тепла, огня.","страна происхождения Франция изготовитель: LABORATOIRES CADENTIA, 16 Avenue du Labbe, Zi des Paluds, 13400 AUBAGNE, Франция."
https://goldapple.ru/99000090495-abracadabra-extrait,by MAF,Abracadabra extrait,2217,4,"Abracadabra - это аромат, основанный на уникальной идее, воплощённой в утончённой композиции. Его главная цель - создать ощущение ""дорого-богато"", но без перегруженности сотнями нот, без излишнего эпатажа или эффекта, будто вы надели всё самое лучшее сразу. Это аромат, который сочетает стойкость без тяжести и исключительное качество без компромиссов.Он задуман как идеальный унисекс, к которому хочется тянуться снова и снова. Он универсален: подойдёт для зимних дней и для тёплого летнего вечера, будь то прогулка или встреча. Это парфюм, который гармонично сочетается с любым моментом вашей жизни.","Два пшика на запястья - по одному на каждую руку. Два пшика позади шеи, это позволить аромату шлейфить и при этом не душить. Один пшик на грудь.","страна происхождения Россия изготовитель: Духи by MAF Abracadabra 7,7 мл Продавец ООО ФЕТИШ ПАРФЮМ ОГРН / ОГРНИП 1197847196623 Юридический адрес Санкт-Петербург, , ул. ПР-КТ ЕКАТЕРИНИНСКИЙ, Д. 2, СТР. 1, ПОМЕЩ. 66-Н, КОМ. 1"
https://goldapple.ru/7330400002-eclat-d-arpege,Lanvin,Éclat d’arpège,7790,4.6,"Словно легкий весенний ветер, аромат LANVIN навевает воспоминания о светлой первой любви. Романтичная, свежая и воздушная композиция передает сияние этого чувства с помощью изысканных нот нежной сирени и бархатистого персика.Древесное звучание кедра и мягкий мускус делают композицию более чувственной, яркой и многогранной.",Только для наружного применения.,"изготовитель: ""INTERPARFUMS"", адрес: 10 rue de Solférino, 75007 Paris, Франция."
https://goldapple.ru/19760327532-atelier-figue-blanche,VERSACE ATELIER,ATELIER FIGUE BLANCHE,27075,4.4,"Аромат FIGUE BLANCHE вызывает ассоциации с тёплым и солнечным Средиземноморским летом. Пленительная и согревающая композиция ATELIER VERSACE с солирующей нотой инжира раскрывает разные грани. С одной стороны — кремовая сладость спелого, согретого средиземноморским солнцем фрукта. С другой — бодрящая свежесть зелени. Дуэт бергамота и итальянского мандарина в окружении обольстительных нероли и жасмина придаёт аромату пикантное и яркое звучание. Парфюмер – Мэрипьер Жульен.Ключевые ноты: инжир, итальянский мандарин",Инструкция отсутствует,"страна происхождения Италия изготовитель: «EUROITALIA S.R.L», адрес: Via Galileo Galilei 5, 20873 Cavenago di Brianza (MB), Италия"
https://goldapple.ru/99000090080-sobranie-16,Парфюмерия XXI века,Sobranie #16,1472,5,"Томный и теплый парфюм #16 Praline + Cognac вдохновлен трепетным жгучим страстным ароматом выдержанного пряного коньяка. Парфюмерная композиция содержит жгучие пряные солнечные ноты коньяка, восточные акценты соблазнительной сладкой корицы и пудровой нежной ванили, элегантные древесные оттенки дуба и восточные дымные аккорды сладковато-пряных экзотических бобов тонка.",Распылить на расстоянии 10-20 см. от тела.,"страна происхождения Россия Продавец ПАРФЮМЕРИЯ XXI ВЕКА ООО ОГРН / ОГРНИП 1027739149448 Юридический адрес Москва, ул. Каховка, дом 10, корпус 3, помещение II"
https://goldapple.ru/19760336599-ginza-eau-de-parfum,Shiseido,GINZA EAU DE PARFUM,8281,4.8,"Созданная Карин Дюбрей и Майей Лерну из японского парфюмерного Дома Tagasako, композиция Ginza гармонично сочетает в себе традиции японской парфюмерии и истинно современное прочтение.Композиция раскрывается ярким сиянием искрящихся нот граната и пикантностью нот розового перца. Сердце аромата благоухает самыми восхитительными гранями жасмина. Три цветка сплетаются, создавая изысканно отточенное звучание теплой и свежей, легкой и пьянящей чувственности.Магнолия и фрезия кружатся в вихре лепестков. Японская орхидея придает цветочному букету штрих таинственности. Цветочная чувственность аромата становится неожиданно мощной, словно отточенной древесными нотами Хиноки.Священный японский кипарис придает композиции неподражаемый почерк, одновременной сильный и нежный, с легкой камфорной нотой. Его самая раскаленная грань эхом перекликается с глубиной сандаловой древесины и интенсивностью пачулей.На коже аромат обретает совершенно неповторимое, женственное и проникновенное звучание.","Распылите парфюмерную воду на пульсирующие точки: запястья, под ушами и вокруг шеи.Чтобы продлить и усилить ваш аромат, сочетайте его со средствами по уходу за телом из банной линии Ginza.","страна происхождения Франция изготовитель: «BEAUTE PRESTIGE INTERNATIONAL S.A.S.», адрес: 56/A, rue du Faubourg Saint-Honore, 75008 Paris, Франция."
https://goldapple.ru/19000019540-bergamot-green-tea-sandalwood-musk,Zielinski & Rozen,"Bergamot, Green Tea, Sandalwood, Musk",2690,4.6,"Я хочу, чтобы парфюм трогал до глубины души, говорил о личности и отражал ее уникальность.Эрез РозенЗамысловатая ольфакторная книга, сюжет которой раскрывается новыми гранями на каждом человеке. Необычные сочетания нот и оригинальное построение аккордов подчеркивают индивидуальность и раскрывают суть ярче любых слов.Все ароматы Zielinski&Rozen категории унисекс.",Наносите парфюм по обе стороны плеч или распылите впереди себя и войдите в «облако» аромата.,страна происхождения Россия
https://goldapple.ru/19000438791-pour-femme,BRUNELLO CUCINELLI,POUR FEMME,10540,5,"Изысканный женский аромат BRUNELLO CUCINELLI напоминает о расслабляющих прогулках свежим и солнечным утром. В этой гармоничной композиции найден идеальный баланс между вневременной элегантностью и утонченной, нарочитой простотой.Верхние ноты, в которых переливаются свежие цитрусовые и пряные грани, деликатно уступают место кремовому сердцу аромата. В нем аккорд каштана сочетается с современными древесными и дымчато-землистыми нотами. Насыщенное смолистое звучание, чистота мускуса и теплые амбровые тона делают базу аромата глубокой и мягкой.",Инструкция отсутствует,страна происхождения Италия
https://goldapple.ru/99000034339-parana,BOIS 1920,Parana,29785,Рейтинг отсутствует,"Благодаря союзу изысканного древесно-кожаного аккорда с фруктовыми оттенками черной смородины и итальянского бергамота, изящной розой и ""жарким"" марокканским жасмином, Parana отражает утонченную индивидуальность своего обладателя, подчеркивая его элегантный стиль.","Распылите с расстояния 20–25 см, избегая попадания на одежду.",страна происхождения Италия Продавец Солинг ООО ОГРН / ОГРНИП 1126722000591
https://goldapple.ru/19000234803-tobacco-vanilla,BY KAORI,Tobacco Vanilla,3890,5,"Тёплый мягкий аромат табачных листьев и сладкой ванили. Аромат средней насыщенности. Ноты специй и листьев табака в помещении постепенно раскрываются в богатый, деликатный аромат ванили и какао. Шлейф проявляется в полупрозрачных нотах древесной коры и сухофруктов.В закрытом пространстве TOBACCO VANILLA распространяется плавно, пик аромата наиболее выражен в первые минуты нахождения в помещении. Вам подойдёт TOBACCO VANILLA, если в аромате вы цените легкость, сладость и ненавязчивость, а также если вы хотите придать помещению солидность и роскошь. Аромат идеально подойдёт для прихожей и спальни, а также станет отличным дополнением для тёмного современного интерьера.","Наполните стеклянный флакон арома жидкостью из пластикового рефила. Поставьте в стеклянный флакон с жидкостью палочки из микрофибры. Регулируйте насыщенность аромата с помощью количества палочек - чем больше палочек во флаконе, тем более интенсивным будет аромат.","страна происхождения Россия изготовитель: ООО Бентус Лаборатории, Россия, г.Москва, ул. Радио, дом 24,корпус 1, помещение Х, info@bentuslab.ru, +7-495-120-72-72 Продавец КАОРИ СТОР ООО ОГРН / ОГРНИП 1197746272580 Юридический адрес Москва, вн.тер. г. Муниципальный Округ Дорогомилово, пр-кт Кутузовский, дом 36, строение 6, помещение 2/1"
https://goldapple.ru/83290100016-amber-malaki,CHOPARD,Amber Malaki,13591,4.6,"Теплый таинственный аромат, вдохновленный богатой роскошью украшений бренда Chopard. Утонченный и притягательный, этот драгоценный эликсир пробуждает загадочную чувственность, которая излучает золотую энергию солнца.Будучи драгоценным камнем, янтарь очаровывал людей на протяжении веков своей гипнотической красотой.В парфюмерии его ароматический характер напоминает дурманящую экзотику Ближнего Востока. Золотой янтарь является соблазнительной срединной нотой аромата, его сложные грани раскрытые дымной элегантностью древесного папируса, богатыми и пряными нотами ладана и сладострастием цветка апельсинового дерева.Бархатный, мягкий, ванильный бурбон и цитрус завершают аромат, создавая захватывающую, утонченную подпись его обладателя.",Только для наружного применения.,"страна происхождения Италия изготовитель: ""PFCH LUXE SA"", адрес: Rue du Parc 3 BIS, 1207, Geneva, Швейцария"
https://goldapple.ru/19000404799-the-scent-magnetic,Hugo Boss,THE SCENT MAGNETIC,6885,4.8,"Погрузитесь в мир притяжения с BOSS The Scent Magnetic для нее — захватывающей парфюмерной водой, которая воплощает в себе магнетическую силу, соединяющую сильные пары. Бренд HUGO BOSS известен своим уникальным подходом к созданию ароматов, которые подчеркивают уверенность и элегантность.Этот аромат, играющий на контрастах и двойственности, представляет собой соблазнительную интерпретацию оригинального BOSS The Scent. Он сочетает в себе амбровые и мускусные ноты, создавая магнетическое притяжение, которое завораживает всех вокруг. Композиция открывается темными, бархатистыми нотами цветка османтуса, которые переплетаются с мощным и чувственным белым мускусом. Напряжение усиливается обволакивающей нотой семян амбретты, закрепляя аромат в пленительном объятии, которое захватывает чувства.BOSS The Scent Magnetic для нее переосмысляет чувственную силу в эффектном флаконе, украшенном крупным логотипом BOSS на глубоко-фиолетовом лакированном стекле и монограммированной крышкой в ледяном золотом оттенке. Многофасеточная форма флакона отражает сенсорное противостояние внутри этого захватывающего аромата, подчеркивая многогранность сильной пары.Наносите BOSS The Scent Magnetic Eau de Parfum для нее на точки пульса, чтобы продлить стойкость этого притягательного аромата для женщин.",Распылите с расстояния 20-30 см на точки пульса или создайте ароматное облако и войдите в него для более легкого и равномерного нанесения.,"страна происхождения Франция изготовитель: «FRAGRANCE PRODUCTION SAS», адрес: ZI EDMOND POILLOT B.P. 855, 28011 CHARTRES, Франция"
https://goldapple.ru/99000015605-black-pepper-amber,LAMONNET,black pepper & amber,750,4.6,"BRACE. Твёрдо. Уверенно. Без сомнений.Всё началось с неуверенности. С тихого голоса, с робких шагов, с попыток найти свою опору. Но затем пришло осознание: сила уже здесь. Внутри. Она всегда была с тобой.Всё началось с неуверенности… Но теперь ты знаешь, что сила внутри тебя.Ты не ищешь подтверждений извне. Ты знаешь, кто ты. Ты чувствуешь себя спокойно, потому что твоя уверенность — не напускная, а настоящая. Она не требует доказательств, но вдохновляет других.BRACE — аромат внутренней силы. Глубокий, древесный, терпкий. Его стержень — тик и сандал, словно гладкая, отполированная временем древесина. Словно невидимая опора, постепенно раскрываясь, становится частью вас, давая ощущение силы, которая идёт изнутри.FLOW, UNFRAME, SAĜO, BRACE — как и люди, ароматы первой коллекции STEREOTYPE похожи, но несравнимы. Они принадлежат одной «ароматной вселенной» — мускусной, древесной, амбровой, пряной — но звучат по-разному. Они говорят на одном языке, но разными голосами. И каждый находит среди них тот аромат, что звучит в унисон с его внутренним миром.Парфюмер: Olaf Larsen.",только для наружного применения.,страна происхождения Франция
https://goldapple.ru/26165600001-amber-spices,MONTALE,Amber & Spices,10710,4.6,"Лифт в точку кульминации – на крышу, где начинается момент.Первый этаж. Двери открываются. Мягкое кашемировое пальто проскользнуло мимо, за ним – сухой шелест бумажных пакетов. Лифт трогается.Каждый этаж – новая атмосфера: гладкий микс азиатских специй и засахаренного печенья, струящийся шёлк рубашек и кремовый египетский текстиль, кедровые колодки для обуви и острые линии итальянских костюмов. Всё движется вверх: чётко, ровно, как саундтрек. Лёгкое шипение.Двери раскрываются – стеклянный купол, серое небо, резкий воздух. Одиннадцатый этаж. Бар на крыше. И это твой выход.Парфюмер: Xavier Blaizot.Аромат движется этажами вверх: сначала — искра бергамота с розовым перцем, как лёгкое шипение лифта. Дальше — смолы элеми и ладан, звучащие как деревянные панели дорогого холла.На середине пути — жасминовые ветки в массивных вазах, их свежесрезанные лепестки наполняют пространство тихой белой тишиной. Внизу остаётся сладость: ваниль и амбра — густая, дорогая, как воздух в бутике, где ткань и кашемир звучат тактильно.Финал — кедр и мускус, строгие, ровные, как линии костюма на вешалке. И вот двери распахиваются: холодный воздух крыши, шум города, бар в облаках. Одиннадцатый этаж. Твой выход.",Инструкция отсутствует,страна происхождения Франция
https://goldapple.ru/19000264457-cristal,Narciso Rodriguez,Narciso cristal,9075,4.7,"Аромат Pulsation 11.07 — сон Салли о ночи, когда музыка и свет клубов сливаются в одно целое.Стробоскоп выхватывает из темноты лица, в воздухе смешиваются густые аккорды мёда, ладана и шалфея. Фруктовые ноты и яблоко придают сладкое волнение, а тёплый табак, амбра и кедр оставляют чувственный след. Аромат-пульс, в ритме которого невозможно устоять.Sally, 11.07. Это одна из тех ночей, что бывают только в кино или во сне. Воздух звенит от ожидания и предвкушения. Здесь возможно всё — ничто не запрещено. Я пробираюсь глубже в толпу и полностью растворяюсь в музыке. Свет стробоскопа выхватывает из темноты лица: горящие взгляды, улыбки на губах.Вдруг среди огней — взгляд. Томный, манящий. Он подходит ближе, наклоняется — и я чувствую его тепло. Его аромат окутывает меня: горячий, с едва уловимой нотой сладости, от которой сбивается пульс.Его рука медленно скользит вверх по моей — словно разряд тока. Воздух между нами становится плотным, почти осязаемым, таким, в котором легко утонуть. Сердце бешено колотится. Я тянусь к нему тоже, как будто нас соединяет невидимая нить — всё замирает на грани чего-то необратимого, всепоглощающего.Миг — всё исчезает. Гаснет свет. Стихает музыка. Остаётся только аромат, послевкусие пряной сладости, невероятно реальное, как призрак на грани восприятия.",Инструкция отсутствует,страна происхождения Франция
https://goldapple.ru/19000166818-blockade,Mind Games,Blockade,28292,4.7,"Благородный, изысканный и яркий аромат Liquides Imaginaires напоминает вина высшей категории, которые на протяжении веков считались подарком богов, символом воскрешения и вечности. Парфюмерная композиция воспевает радости жизни и пробуждает страсть. Прохладный металл верхних нот в сочетании с  винным аккордом раскрывает истинный характер аромата. В его сердце – кроваво-красный сок из малины и вишни. Завершается композиция теплыми древесными нотами дубовой бочки, идеальной для выдержки вин.Ключевые ноты: белое вино, фруктовое красное вино, аккорд дубовой бочки.",Инструкция отсутствует,"страна происхождения Италия изготовитель: ""Liquides Imaginaires SAS"", адрес: 91 Rue du Faubourg Saint-Honoré 75008 Paris, Франция."
https://goldapple.ru/26733200002-bibliotheque,Byredo,BIBLIOTHEQUE,19574,4.8,"Фантазия об особенной нежности. В поисках неожиданной красоты, потерянной в тёмном мире… Она ускользает, словно изменчивый, неуловимый фантом. Dreaming with Ghosts – это путешествие между сном и реальностью. Бодрящая айва сочетается со светлыми нотами ванили и ветивера, окутанными ароматом кожи.Основная идея – отражение нежности. Ваниль в сочетании с кожей и ветивером раскрывает мягкую чувственность, которую подчеркивают яркие цветочные ноты пиона и бархатцев. Из сна в реальность возвращает яркий фруктовый аккорд айвы, напоминающий сочетание груши и яблока.Верхние ноты: бархатцы, айваНоты сердца: пион, кожаБазовые ноты: ветивер, ваниль",Инструкция отсутствует,"страна происхождения Франция изготовитель: ""S.A.S Parfum Cosmetic World"", адрес: Aromagrasse, 45 Boulevard Marcel Pagnol, 06130 Grasse, Франция."
https://goldapple.ru/99000056814-eunoia,SIU,EUNOIA,12330,4.6,"Чувственная, необычная, древесная композиция раскрывается искристыми нотками ненавязчивых цитрусов, мягкого шалфея и белого мускуса. В завершение вступают умопомрачительные ноты амбры, мха и ванили. Создает ощущение прогулки по сухому смолистому лесу в ясный солнечный день.Гармоничная, универсальная композиция обволакивает, мягко садится на кожу, окутывая интимным шлейфом, словно тонкая вуаль. Аромат, который привлекает к себе внимание с первого вдоха. Таинственный, манящий, его хочется разгадывать. Свидание, вечерняя прогулка, важные переговоры - любое событие будет украшено ароматом Hygge.",Распылите аромат 3-4 раза на кожу.,"страна происхождения Франция Продавец ООО ОУСТЕР БЬЮТИ ОГРН / ОГРНИП 1222100008624 Юридический адрес Aromagrasse, 45 Bd Marcel Pagnol, 06130 Grasse, France"
https://goldapple.ru/19000325607-black-phantom,Kilian Paris,Black Phantom,45360,4.7,"Благородный, нежный и чистый аромат BIRKHOLZ одновременно демонстрирует и женственность, и уверенную дерзость. В этой величественной парфюмерной композиции возвышенный ирис гармонирует с яркими древесными нотами, которые подчеркивают царственный характер цветка.Изящный и в то же время сдержанный, ирис привносит как свою креативность, так и неизменное благородство.",Только для наружного применения.,"страна происхождения Германия изготовитель: ""BIRKHOLZ International GmbH"", адрес: Albert-Einstein-Ring 46, 14532 Kleinmachnow, Германия."
